sep=;
Año;Mes;Concepto;Pais / PV;Concepto II;Descripción;Moneda;Valor;Index Concepto;Columnas objetivo;Ámbito(s);Scope;Box;Column;Row;Source;Descripción resumen;Amount_text resumen
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;7;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"105.923 USD; The selected range was from 1 to infinity";USD;105,92;2;;;FixedUSD;0;2;8;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;9;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;10;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;11;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoco;tottoco / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;12;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoguatemala;tottoguatemala / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;13;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottobo;tottobo / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;14;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottob2bqa;tottob2bqa / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;15;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;qatottobo;qatottobo / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;16;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocr;tottocr / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;17;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoqa;tottoqa / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;18;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoqa;tottoqa / 1 TradePolicy;"105.923 USD; The selected range was from 1 to infinity";USD;105,92;2;;;FixedUSD;0;2;19;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoqa;tottoqa / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;20;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoqa;tottoqa / 1 TradePolicy;"105.923 USD; The selected range was from 1 to infinity";USD;105,92;2;;;FixedUSD;0;2;21;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;newbrandtotto;newbrandtotto / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;22;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;toparaqa;toparaqa / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;23;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottoclqa;tottoclqa / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;24;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocl;tottocl / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;25;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocl;tottocl / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;26;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottomexico;tottomexico / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;27;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottomexico;tottomexico / 1 TradePolicy;"0 USD; Certified Trade Policy";USD;0,00;2;;;FixedUSD;0;2;28;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottodo;tottodo / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;29;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocob2b;tottocob2b / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;30;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocob2b;tottocob2b / 1 TradePolicy;"105.923 USD; The selected range was from 1 to infinity";USD;105,92;2;;;FixedUSD;0;2;31;column_exact;;
2025;12;Tarifa mensual fija de mantenimineto de cada política comercial adicional;tottocorporativo;tottocorporativo / 1 TradePolicy;"0 USD; Main Trade Policy";USD;0,00;2;;;FixedUSD;0;2;32;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;-;-;-;USD;2.806,96;3;3;MainAccount;;;;;;Tasa mensual fija de mantenimiento de cada Seller White Label;USD 2,806.96
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv243;tottocowlpv243 / 1 WhiteLabel;"2,118.465 USD; The selected range was from 0 to 1";USD;2.118,47;3;;;MainAccount;0;3;0;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv288;tottocowlpv288 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;1;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv277;tottocowlpv277 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;2;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv339;tottocowlpv339 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;3;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv98;tottocowlpv98 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;4;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv294;tottocowlpv294 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;5;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv34;tottocowlpv34 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;6;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv275;tottocowlpv275 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;7;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv128;tottocowlpv128 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;8;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv210;tottocowlpv210 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;9;column_exact;;
